ticker,security_type,reason,signals
TLYS,common_stock,profile_fields_present,19
TMC,common_stock,profile_fields_present,24
TMDX,common_stock,profile_fields_present,31
TMET,etf,is_etf=True,34
TMH,common_stock,profile_fields_present,18
TMP,common_stock,profile_fields_present,26
TMQ,common_stock,profile_fields_present,25
TMTC,spac_or_blank_check,name_contains:ACQUISITION CORP,62
TNC,common_stock,profile_fields_present,17
TNDM,common_stock,profile_fields_present,7
TNET,common_stock,profile_fields_present,8
TNGX,common_stock,profile_fields_present,35
TNK,common_stock,profile_fields_present,50
TNL,common_stock,profile_fields_present,38
TNP,common_stock,profile_fields_present,22
TNXP,common_stock,profile_fields_present,1
TOI,common_stock,profile_fields_present,22
TONX,common_stock,profile_fields_present,2
TORO,common_stock,profile_fields_present,15
TOWN,common_stock,profile_fields_present,19
TOYO,common_stock,profile_fields_present,27
TPB,common_stock,profile_fields_present,96
TPC,common_stock,profile_fields_present,100
TPCS,common_stock,profile_fields_present,6
TPH,common_stock,profile_fields_present,43
TPHE,etf,is_etf=True,34
TPLE,etf,is_etf=True,37
TPMN,etf,is_etf=True,12
TPX,common_stock,profile_fields_present,23
TR,common_stock,profile_fields_present,40
TRAK,common_stock,profile_fields_present,37
TRC,common_stock,profile_fields_present,11
TRDA,common_stock,profile_fields_present,18
TREE,common_stock,profile_fields_present,29
TREX,common_stock,profile_fields_present,14
TRIP,common_stock,profile_fields_present,8
TRIS,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,69
TRMD,common_stock,profile_fields_present,32
TRMK,common_stock,profile_fields_present,31
TRML,common_stock,profile_fields_present,14
TRN,common_stock,profile_fields_present,27
TRNS,common_stock,profile_fields_present,14
TROO,common_stock,profile_fields_present,15
TROX,common_stock,profile_fields_present,28
TRS,common_stock,profile_fields_present,30
TRST,common_stock,profile_fields_present,47
TRT,common_stock,profile_fields_present,23
TRTL,spac_or_blank_check,name_contains:ACQUISITION CORP,42
TRTX,common_stock,profile_fields_present,19
TRUE,common_stock,profile_fields_present,11
TRUP,common_stock,profile_fields_present,22
TRVI,common_stock,profile_fields_present,42
TSAT,common_stock,profile_fields_present,47
TSBK,common_stock,profile_fields_present,25
TSHA,common_stock,profile_fields_present,22
TSQ,common_stock,profile_fields_present,2
TSRI,common_stock,profile_fields_present,13
TSSI,common_stock,profile_fields_present,70
TTAM,common_stock,profile_fields_present,13
TTI,common_stock,profile_fields_present,29
TTP,mutual_fund,raw_flag:isFund,72
TTSH,common_stock,profile_fields_present,9
TURN,business_development_company,name_industry:CAPITAL_CORPORATION_BDC,17
TUSK,common_stock,profile_fields_present,6
TVTX,common_stock,profile_fields_present,36
TWFG,common_stock,profile_fields_present,7
TWI,common_stock,profile_fields_present,8
TWIN,common_stock,profile_fields_present,28
TWIO,etf,is_etf=True,22
TWO,common_stock,profile_fields_present,1
TWST,common_stock,profile_fields_present,26
TXG,common_stock,profile_fields_present,21
TXSS,etf,is_etf=True,15
TY,closed_end_fund,raw_description:CLOSED_END_EQUITY_MUTUAL_FUND,60
TYG,closed_end_fund,raw_description:CLOSED_END_EQUITY_MUTUAL_FUND,54
TYGO,common_stock,profile_fields_present,28
TYRA,common_stock,profile_fields_present,55
TZOO,common_stock,profile_fields_present,27
TZUP,common_stock,profile_fields_present,15
UA,common_stock,profile_fields_present,3
UAA,common_stock,profile_fields_present,5
UAMY,common_stock,profile_fields_present,52
UAN,common_stock,profile_fields_present,23
UBCP,common_stock,profile_fields_present,10
UBFO,common_stock,profile_fields_present,34
UCB,common_stock,profile_fields_present,15
UCBI,common_stock,profile_fields_present,2
UCFI,common_stock,profile_fields_present,87
UCTT,common_stock,profile_fields_present,52
UE,common_stock,profile_fields_present,34
UEIC,common_stock,profile_fields_present,3
UFCS,common_stock,profile_fields_present,38
UFI,common_stock,profile_fields_present,2
UFPI,common_stock,profile_fields_present,5
UFPT,common_stock,profile_fields_present,32
UG,common_stock,profile_fields_present,19
UHT,common_stock,profile_fields_present,10
UIS,common_stock,profile_fields_present,11
ULBI,common_stock,profile_fields_present,6
ULCC,common_stock,profile_fields_present,5
ULH,common_stock,profile_fields_present,12
ULTR,etf,is_etf=True,4
UMAC,common_stock,profile_fields_present,16
UMH,common_stock,profile_fields_present,20
UNB,common_stock,profile_fields_present,7
UNCY,common_stock,profile_fields_present,1
UNF,common_stock,profile_fields_present,22
UNFI,common_stock,profile_fields_present,38
UNIT,common_stock,profile_fields_present,17
UNTY,common_stock,profile_fields_present,28
UP,common_stock,profile_fields_present,2
UPB,common_stock,profile_fields_present,8
UPBD,common_stock,profile_fields_present,6
UPST,common_stock,profile_fields_present,6
UPWK,common_stock,profile_fields_present,19
URGN,common_stock,profile_fields_present,17
UROY,common_stock,profile_fields_present,17
USAC,common_stock,profile_fields_present,23
USAP,common_stock,profile_fields_present,39
USAR,common_stock,profile_fields_present,9
USAS,common_stock,profile_fields_present,76
USAU,common_stock,profile_fields_present,42
USCB,common_stock,profile_fields_present,20
USCF,etf,is_etf=True,26
USGO,common_stock,profile_fields_present,10
USLM,common_stock,profile_fields_present,57
USM,common_stock,profile_fields_present,23
USVT,etf,is_etf=True,6
UTI,common_stock,profile_fields_present,54
UTL,common_stock,profile_fields_present,10
UTMD,common_stock,profile_fields_present,8
UTRN,etf,is_etf=True,51
UTZ,common_stock,profile_fields_present,3
UUUU,common_stock,profile_fields_present,28
UVE,common_stock,profile_fields_present,41
UVSP,common_stock,profile_fields_present,45
UVV,common_stock,profile_fields_present,9
UWMC,common_stock,profile_fields_present,13
VABK,common_stock,profile_fields_present,11
VAC,common_stock,profile_fields_present,2
VALU,common_stock,profile_fields_present,1
VATE,common_stock,profile_fields_present,28
VBFC,mutual_fund,raw_flag:isFund,26
VBNK,common_stock,profile_fields_present,60
VBTX,common_stock,profile_fields_present,20
VC,common_stock,profile_fields_present,6
VCEL,common_stock,profile_fields_present,26
VCIC,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,74
VCXB,spac_or_blank_check,name_contains:ACQUISITION CORP,37
VCYT,common_stock,profile_fields_present,26
VECO,common_stock,profile_fields_present,47
VEL,common_stock,profile_fields_present,26
VELO,common_stock,profile_fields_present,3
VENU,common_stock,profile_fields_present,17
VERA,common_stock,profile_fields_present,20
VERU,common_stock,profile_fields_present,1
VERV,common_stock,profile_fields_present,1
VERX,common_stock,profile_fields_present,33
VERY,common_stock,profile_fields_present,6
VET,common_stock,profile_fields_present,21
VFF,common_stock,profile_fields_present,40
VGR,common_stock,profile_fields_present,12
VGZ,common_stock,profile_fields_present,36
VHAQ,spac_or_blank_check,name_contains:ACQUISITION CORP,8
VHC,common_stock,profile_fields_present,17
VHI,common_stock,profile_fields_present,28
VIASP,preferred,symbol_suffix:fifth_char_P,44
VIGL,common_stock,profile_fields_present,21
VINE,common_stock,profile_fields_present,4
